timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1753342568682,903,HTTP Request,200,OK,product_browse 2-93,text,true,,2157,128,116,164,https://dummyjson.com/products/3,903,0,685
1753342568648,927,HTTP Request,200,OK,product_browse 2-84,text,true,,2157,128,116,164,https://dummyjson.com/products/3,927,0,691
1753342568677,897,HTTP Request,200,OK,product_browse 2-92,text,true,,2157,128,116,164,https://dummyjson.com/products/3,897,0,672
1753342568675,890,HTTP Request,200,OK,product_browse 2-91,text,true,,2157,128,116,166,https://dummyjson.com/products/3,889,0,677
1753342568650,901,HTTP Request,200,OK,product_browse 2-87,text,true,,2157,128,116,169,https://dummyjson.com/products/3,901,0,678
1753342568897,955,HTTP Request,200,OK,product_browse 2-136,text,true,,2157,128,59,80,https://dummyjson.com/products/3,955,0,739
1753342568919,933,HTTP Request,200,OK,product_browse 2-140,text,true,,2157,128,59,80,https://dummyjson.com/products/3,933,0,719
1753342568660,881,HTTP Request,200,OK,product_browse 2-88,text,true,,2157,128,116,169,https://dummyjson.com/products/3,881,0,668
1753342568666,873,HTTP Request,200,OK,product_browse 2-89,text,true,,2157,128,116,169,https://dummyjson.com/products/3,873,0,653
1753342568669,867,HTTP Request,200,OK,product_browse 2-90,text,true,,2157,128,116,169,https://dummyjson.com/products/3,867,0,650
1753342569013,821,HTTP Request,200,OK,product_browse 2-159,text,true,,2157,128,76,102,https://dummyjson.com/products/3,821,0,666
1753342568930,903,HTTP Request,200,OK,product_browse 2-143,text,true,,2157,128,76,102,https://dummyjson.com/products/3,903,0,726
1753342568975,884,HTTP Request,200,OK,product_browse 2-152,text,true,,2157,128,48,69,https://dummyjson.com/products/3,884,0,720
1753342569007,857,HTTP Request,200,OK,product_browse 2-158,text,true,,2156,128,47,68,https://dummyjson.com/products/3,857,0,689
1753342569050,815,HTTP Request,200,OK,product_browse 2-167,text,true,,2156,128,47,68,https://dummyjson.com/products/3,815,0,653
1753342568800,1065,HTTP Request,200,OK,product_browse 2-117,text,true,,2157,128,47,68,https://dummyjson.com/products/3,1065,0,703
1753342568938,931,HTTP Request,200,OK,product_browse 2-145,text,true,,2156,128,44,64,https://dummyjson.com/products/3,931,0,764
1753342569025,844,HTTP Request,200,OK,product_browse 2-162,text,true,,2156,128,44,64,https://dummyjson.com/products/3,844,0,674
1753342569021,897,HTTP Request,200,OK,product_browse 2-161,text,true,,2157,128,42,60,https://dummyjson.com/products/3,897,0,703
1753342569055,855,HTTP Request,200,OK,product_browse 2-168,text,true,,2157,128,42,61,https://dummyjson.com/products/3,855,0,677
1753342569091,818,HTTP Request,200,OK,product_browse 2-175,text,true,,2157,128,42,61,https://dummyjson.com/products/3,818,0,643
1753342569045,853,HTTP Request,200,OK,product_browse 2-166,text,true,,2156,128,42,62,https://dummyjson.com/products/3,853,0,675
